,Palavras frequentes,Frequ̻ncia
0,"('produto', 'chegou', 'antes', 'prazo')",324
1,"('produto', 'entregue', 'antes', 'prazo')",302
2,"('chegou', 'bem', 'antes', 'prazo')",266
3,"('produto', 'chegou', 'bem', 'antes')",118
4,"('produto', 'entregue', 'dentro', 'prazo')",102
5,"('entregue', 'bem', 'antes', 'prazo')",97
6,"('chegou', 'antes', 'prazo', 'produto')",91
7,"('recebi', 'produto', 'antes', 'prazo')",91
8,"('chegou', 'antes', 'prazo', 'previsto')",80
9,"('produto', 'chegou', 'dentro', 'prazo')",71
